N,acc_t,acc_v
100,0.9990365986639423,0.9968080038113387
200,0.999793556856559,0.9978084802286803
300,0.9999338323258202,0.9979990471653168
400,0.9999761796372952,0.9981657932348738
500,0.9999894131721312,0.9981657932348738
600,0.9999947065860656,0.9982134349690329
700,0.9999973532930329,0.9982848975702716
800,0.9999973532930329,0.9983325393044307
900,1.0,0.9983325393044307
1000,1.0,0.9983087184373511
2000,1.0,0.9982848975702716
